niveau,verb
B1.1,(sich) ändern
B1.1,angehen
B1.1,(sich) anstrengen
B1.1,atmen
B1.1,auffordern
B1.1,aufgeben
B1.1,aufhören
B1.1,aufschreiben
B1.1,aufwachen
B1.1,ausreichen
B1.1,aussuchen
B1.1,beenden
B1.1,sich befinden
B1.1,begrüssen
B1.1,beissen
B1.1,beobachten
B1.1,(sich) beruhigen
B1.1,beschädigen
B1.1,(sich) beschäftigen
B1.1,besitzen
B1.1,(sich) bestätigen
B1.1,betreuen
B1.1,brechen
B1.1,brennen
B1.1,entdecken
B1.1,sich entschliessen
B1.1,entstehen
B1.1,enttäuschen
B1.1,(sich) entwickeln
B1.1,erfinden
B1.1,erfüllen
B1.1,erhalten
B1.1,erhöhen
B1.1,erreichen
B1.1,erschrecken
B1.1,erwarten
B1.1,erziehen
B1.1,fehlen
B1.1,festnehmen
B1.1,feststellen
B1.1,fliehen
B1.1,folgen
B1.1,fordern
B1.1,führen
B1.1,geboren werden
B1.1,gelingen
B1.1,genügen
B1.1,gespannt sein
B1.1,(sich) gewöhnen
B1.1,gründen
B1.1,handeln
B1.1,herstellen
B1.1,impfen
B1.1,jobben
B1.1,krankmelden
B1.1,krankschreiben
B1.1,lächeln
B1.1,läuten
B1.1,sich lohnen
B1.1,lösen
B1.1,losfahren
B1.1,lügen
B1.1,messen
B1.1,mitbringen
B1.1,mitgehen
B1.1,nachdenken
B1.1,pflegen
B1.1,rechnen
B1.1,retten
B1.1,rufen
B1.1,schiessen
B1.1,schimpfen
B1.1,schreien
B1.1,senden
B1.1,(sich) setzen
B1.1,stammen
B1.1,steigen
B1.1,teilnehmen
B1.1,tragen
B1.1,treiben
B1.1,(sich) überlegen
B1.1,überreden
B1.1,übersetzen
B1.1,umgehen
B1.1,umtauschen
B1.1,unterscheiden
B1.1,untersuchen
B1.1,(sich) verabschieden
B1.1,(sich) verändern
B1.1,verdächtigen
B1.1,vereinbaren
B1.1,vergleichen
B1.1,verliebt sein
B1.1,vermuten
B1.1,verschreiben
B1.1,verschwinden
B1.1,verteilen
B1.1,vertreten
B1.1,verwechseln
B1.1,verzichten
B1.1,vorhaben
B1.1,weg sein
B1.1,wiederkommen
B1.1,(sich) wundern
B1.1,zunehmen
B1.1,zurechtkommen
B1.1,zustimmen
B1.2,abstimmen
B1.2,anklicken
B1.2,anschliessen
B1.2,anstehen
B1.2,anzeigen
B1.2,aufführen
B1.2,aufhalten
B1.2,aufregen
B1.2,beeinflussen
B1.2,behandeln
B1.2,behindern
B1.2,sich bemühen
B1.2,benötigen
B1.2,beschliessen
B1.2,beschreiben
B1.2,besetzen
B1.2,bestrafen
B1.2,(sich) beteiligen
B1.2,betrügen
B1.2,braten
B1.2,diskutieren
B1.2,(sich) drehen
B1.2,duzen
B1.2,einfallen
B1.2,(sich) einsetzen
B1.2,eintragen
B1.2,eintreten
B1.2,entlassen
B1.2,entschlossen sein
B1.2,erscheinen
B1.2,erstellen
B1.2,festlegen
B1.2,fördern
B1.2,geschehen
B1.2,glauben
B1.2,herrschen
B1.2,herunterladen
B1.2,installieren
B1.2,integrieren
B1.2,kämpfen
B1.2,klettern
B1.2,klicken
B1.2,klingen
B1.2,korrigieren
B1.2,(sich) leisten
B1.2,löschen
B1.2,mischen
B1.2,ordnen
B1.2,schalten
B1.2,schlagen
B1.2,schütteln
B1.2,schweigen
B1.2,sichern
B1.2,stehlen
B1.2,streichen
B1.2,tauschen
B1.2,töten
B1.2,trocknen
B1.2,überqueren
B1.2,unterstützen
B1.2,verbieten
B1.2,verbrennen
B1.2,verdienen
B1.2,verlassen
B1.2,verpflichtet sein
B1.2,verreisen
B1.2,versorgen
B1.2,sich verspäten
B1.2,verurteilen
B1.2,vorkommen
B1.2,sich vornehmen
B1.2,wachsen
B1.2,wählen
B1.2,warnen
B1.2,weggehen
B1.2,wegwerfen
B1.2,sich weigern
B1.2,sich weiterbilden
B1.2,weitermachen
B1.2,wirken
B1.2,zerstören
B1.2,zubereiten
B1.2,zusagen
B1.2,zuschauen
A1.1,anfangen
B1.1,beziehen
A1.2,bitten
A1.2,einladen
A1.2,entschuldigen
A2.1,erholen
B1.2,erkundigen
A1.2,freuen
A1.2,gehören
B1.2,hindern
A1.2,informieren
B1.2,klagen
A1.2,lachen
B1.1,leiden
B1.2,protestieren
A1.2,schmecken
A1.1,telefonieren
A2.1,zusehen
B1.2,zweifeln
